,x,y,z,tagId,timestamp
263,152,2725,0,26376,2018-10-24 18:39:23.543999910
264,532,2456,0,26383,2018-10-24 18:39:23.644999981
265,2352,-401,0,26457,2018-10-24 18:39:23.697000027
266,55,2661,0,26376,2018-10-24 18:39:23.736999989
267,535,2418,0,26383,2018-10-24 18:39:23.878000021
268,2287,-374,0,26457,2018-10-24 18:39:23.948999882
269,34,2616,0,26376,2018-10-24 18:39:23.984999895
270,508,2438,0,26383,2018-10-24 18:39:24.108000040
271,2302,-386,0,26457,2018-10-24 18:39:24.160000086
272,-48,2577,0,26376,2018-10-24 18:39:24.198999882
273,753,2523,0,26383,2018-10-24 18:39:24.247999907
274,2310,-377,0,26457,2018-10-24 18:39:24.322000027
275,-53,2514,0,26376,2018-10-24 18:39:24.382999897
276,667,2460,0,26383,2018-10-24 18:39:24.506000042
277,2286,-412,0,26457,2018-10-24 18:39:24.559000015
278,-113,2494,0,26376,2018-10-24 18:39:24.607000113
279,962,2583,0,26383,2018-10-24 18:39:24.721999884
280,2312,-447,0,26457,2018-10-24 18:39:24.796999931
281,-392,2254,0,26376,2018-10-24 18:39:24.848999977
282,446,2406,0,26383,2018-10-24 18:39:24.976999998
283,2312,-447,0,26457,2018-10-24 18:39:25.026999950
284,-111,2491,0,26376,2018-10-24 18:39:25.065000057
285,483,2457,0,26383,2018-10-24 18:39:25.184000015
286,2316,-399,0,26457,2018-10-24 18:39:25.232000113
287,-346,2350,0,26376,2018-10-24 18:39:25.308000088
288,534,2501,0,26383,2018-10-24 18:39:25.453000069
289,2290,-398,0,26457,2018-10-24 18:39:25.503000020
290,-387,2316,0,26376,2018-10-24 18:39:25.540999889
291,580,2431,0,26383,2018-10-24 18:39:25.663000107
292,2322,-365,0,26457,2018-10-24 18:39:25.713000059
293,-173,2510,0,26376,2018-10-24 18:39:25.766000032
294,547,2491,0,26383,2018-10-24 18:39:25.921000004
295,2293,-443,0,26457,2018-10-24 18:39:25.970000029
296,629,3058,0,26376,2018-10-24 18:39:26.009999990
297,448,2431,0,26383,2018-10-24 18:39:26.128000020
298,2306,-460,0,26457,2018-10-24 18:39:26.177999973
299,558,2680,0,26376,2018-10-24 18:39:26.216000080
300,471,2452,0,26383,2018-10-24 18:39:26.309999943
301,2235,-409,0,26457,2018-10-24 18:39:26.378000021
302,340,2604,0,26376,2018-10-24 18:39:26.438999891
303,914,2593,0,26383,2018-10-24 18:39:26.516999960
304,2348,-455,0,26457,2018-10-24 18:39:26.566999912
305,698,2778,0,26376,2018-10-24 18:39:26.607000113
306,609,2609,0,26383,2018-10-24 18:39:26.727999926
307,2338,-475,0,26457,2018-10-24 18:39:26.812000036
308,644,2738,0,26376,2018-10-24 18:39:26.849999905
309,638,2507,0,26383,2018-10-24 18:39:26.979000092
310,2311,-471,0,26457,2018-10-24 18:39:27.029000044
311,658,2790,0,26376,2018-10-24 18:39:27.065999985
312,383,2473,0,26383,2018-10-24 18:39:27.118000031
313,2310,-458,0,26457,2018-10-24 18:39:27.167000055
314,674,2693,0,26376,2018-10-24 18:39:27.204999924
315,854,2606,0,26383,2018-10-24 18:39:27.351999998
316,2325,-432,0,26457,2018-10-24 18:39:27.421999931
317,616,2855,0,26376,2018-10-24 18:39:27.460999966
318,990,2610,0,26383,2018-10-24 18:39:27.579999924
319,2300,-421,0,26457,2018-10-24 18:39:27.631000042
320,529,2781,0,26376,2018-10-24 18:39:27.670000076
321,737,2561,0,26383,2018-10-24 18:39:27.717999935
322,2288,-439,0,26457,2018-10-24 18:39:27.796999931
323,845,2724,0,26376,2018-10-24 18:39:27.846999884
324,841,2599,0,26383,2018-10-24 18:39:27.967000008
325,2339,-465,0,26457,2018-10-24 18:39:28.017999887
326,327,2593,0,26376,2018-10-24 18:39:28.059999943
327,380,2656,0,26383,2018-10-24 18:39:28.178999901
328,2325,-454,0,26457,2018-10-24 18:39:28.230999947
329,475,2509,0,26376,2018-10-24 18:39:28.299999952
330,803,2566,0,26383,2018-10-24 18:39:28.447999954
331,2289,-423,0,26457,2018-10-24 18:39:28.506000042
332,446,2508,0,26376,2018-10-24 18:39:28.555999994
333,141,2415,0,26383,2018-10-24 18:39:28.677999973
334,2304,-465,0,26457,2018-10-24 18:39:28.736999989
335,503,2609,0,26376,2018-10-24 18:39:28.815999985
336,665,2484,0,26383,2018-10-24 18:39:28.930999994
337,2340,-449,0,26457,2018-10-24 18:39:28.990999937
338,261,2426,0,26376,2018-10-24 18:39:29.040999889
339,564,2458,0,26383,2018-10-24 18:39:29.157999992
340,2310,-422,0,26457,2018-10-24 18:39:29.213000059
341,674,2797,0,26376,2018-10-24 18:39:29.253999949
342,278,2385,0,26383,2018-10-24 18:39:29.417999983
343,2417,-466,0,26457,2018-10-24 18:39:29.487999916
344,322,2573,0,26376,2018-10-24 18:39:29.529999970
345,303,2647,0,26383,2018-10-24 18:39:29.631999969
346,2346,-408,0,26457,2018-10-24 18:39:29.681999922
347,284,2625,0,26376,2018-10-24 18:39:29.720999956
348,303,2647,0,26383,2018-10-24 18:39:29.868000031
349,2316,-442,0,26457,2018-10-24 18:39:29.931999922
350,732,2734,0,26376,2018-10-24 18:39:29.969000101
351,440,2465,0,26383,2018-10-24 18:39:30.082999945
352,2305,-441,0,26457,2018-10-24 18:39:30.131000042
353,708,2805,0,26376,2018-10-24 18:39:30.168999910
354,603,2667,0,26383,2018-10-24 18:39:30.230999947
355,2315,-412,0,26457,2018-10-24 18:39:30.301000118
356,349,2736,0,26376,2018-10-24 18:39:30.351000071
357,660,2769,0,26383,2018-10-24 18:39:30.492000103
358,2294,-392,0,26457,2018-10-24 18:39:30.543999910
359,639,2556,0,26376,2018-10-24 18:39:30.582999945
360,644,2619,0,26383,2018-10-24 18:39:30.696000099
361,2317,-434,0,26457,2018-10-24 18:39:30.746999979
362,556,2397,0,26376,2018-10-24 18:39:30.819000006
363,268,2446,0,26383,2018-10-24 18:39:30.961999893
364,2301,-415,0,26457,2018-10-24 18:39:31.012000084
365,394,2165,0,26376,2018-10-24 18:39:31.052000046
366,466,2478,0,26383,2018-10-24 18:39:31.165999889
367,2289,-468,0,26457,2018-10-24 18:39:31.217000008
368,883,2138,0,26376,2018-10-24 18:39:31.266999959
369,559,2458,0,26383,2018-10-24 18:39:31.338999987
370,2350,-494,0,26457,2018-10-24 18:39:31.417999983
371,480,1891,0,26376,2018-10-24 18:39:31.454999924
372,818,2505,0,26383,2018-10-24 18:39:31.546000004
373,2337,-435,0,26457,2018-10-24 18:39:31.595000029
374,682,1905,0,26376,2018-10-24 18:39:31.634000063
375,720,2422,0,26383,2018-10-24 18:39:31.755000114
376,2335,-387,0,26457,2018-10-24 18:39:31.831000090
377,1022,1892,0,26376,2018-10-24 18:39:31.895999908
378,745,2530,0,26383,2018-10-24 18:39:32.015000105
379,2308,-436,0,26457,2018-10-24 18:39:32.065000057
380,1257,1709,0,26376,2018-10-24 18:39:32.101999998
381,431,2479,0,26383,2018-10-24 18:39:32.150000095
382,2323,-445,0,26457,2018-10-24 18:39:32.197999954
383,1224,1499,0,26376,2018-10-24 18:39:32.236000061
384,826,2346,0,26383,2018-10-24 18:39:32.380000114
385,2303,-446,0,26457,2018-10-24 18:39:32.453000069
386,1454,1482,0,26376,2018-10-24 18:39:32.493999958
387,1155,2420,0,26383,2018-10-24 18:39:32.611999989
388,2317,-491,0,26457,2018-10-24 18:39:32.661999941
389,1508,1288,0,26376,2018-10-24 18:39:32.700999975
390,1311,2064,0,26383,2018-10-24 18:39:32.747999907
391,2320,-501,0,26457,2018-10-24 18:39:32.821000099
392,1567,1368,0,26376,2018-10-24 18:39:32.861999989
393,1324,1862,0,26383,2018-10-24 18:39:32.997999907
394,2329,-478,0,26457,2018-10-24 18:39:33.046000004
395,1690,1217,0,26376,2018-10-24 18:39:33.084000111
396,1249,1833,0,26383,2018-10-24 18:39:33.201999903
397,2297,-464,0,26457,2018-10-24 18:39:33.250999927
398,1818,1177,0,26376,2018-10-24 18:39:33.318000078
399,1267,1800,0,26383,2018-10-24 18:39:33.456000090
400,2286,-576,0,26457,2018-10-24 18:39:33.503999949
